('link2', 43.46693015166769)
('link94', 31.459726207999353)
('link91', 26.74938920715876)
('link1', 26.02854364345595)
('link56', 21.75274008572675)
('link75', 19.343751560834438)
('link67', 18.82062131090779)
('link53', 18.692314669836108)
('link11', 18.68399284211718)
('link78', 18.279700338432768)
('link21', 17.65095827443775)
('link99', 17.53406540004645)
('link3', 13.916295514620582)
('link93', 12.992896073289648)
('link13', 12.860171959265942)
('link48', 12.72668921710945)
('link96', 11.960893645307795)
('link55', 11.701495398614991)
('link100', 11.391678801740746)
('link22', 10.739433912101353)
('link51', 9.852095782974304)
('link40', 9.634136785901344)
('link31', 9.107624962827302)
('link33', 7.64820075986277)
('link68', 6.710548608938936)
('link77', 6.484871423585165)
('link46', 5.9063274245064346)
('link58', 5.763585443558983)
('link34', 5.667181431509076)
('link57', 5.576100560065837)
('link105', 5.120052288169101)
('link30', 4.721371658515715)
('link39', 4.557397716912891)
('link59', 4.297785826154386)
('link9', 4.095820880237077)
('link4', 4.0232293507917465)
('link76', 3.61984237878994)
('link8', 3.5264236608890407)
('link54', 3.36310963244387)
('link7', 3.20414649153086)
('link52', 3.128981489283226)
('link14', 3.127249484991314)
('link10', 3.056217194614243)
('link29', 3.0415877233290263)
('link47', 2.999927200951634)
('link45', 2.858145262222758)
('link92', 2.8495430174197014)
('link66', 2.8408620999567464)
('link49', 2.7430223631834467)
('link80', 2.687972584563546)
('link107', 2.565602555085253)
('link95', 2.545145282882378)
('link15', 2.4123217055482264)
('link5', 2.4002124315628612)
('link103', 2.360596534024967)
('link65', 2.3573893456318307)
('link32', 2.339995517083885)
('link28', 2.323346089834115)
('link102', 2.3125501849266503)
('link44', 2.3090464006131652)
('link101', 2.293005844229507)
('link61', 2.251737780315183)
('link60', 2.2516337085178613)
('link41', 2.2456998847496132)
('link88', 2.242844973394389)
('link50', 2.242064781535842)
('link62', 2.2402228860183544)
('link12', 2.2398843945394806)
('link25', 2.2395227656087577)
('link6', 2.2385038738392606)
('link89', 2.238494575586379)
('link90', 2.238484199689397)
('link64', 2.238418252562327)
('link36', 2.238242950496931)
('link20', 2.238056920309549)
('link69', 2.2379251436146466)
('link43', 2.237839317224858)
('link104', 2.2378371381122997)
('link37', 2.2378365977784047)
('link85', 2.2378076797730233)
('link18', 2.237791978465541)
('link42', 2.2377803967666754)
('link23', 2.237780162533362)
('link71', 2.237775804491289)
('link74', 2.2377664759317417)
('link63', 2.2377537513982344)
('link106', 2.2377532423735764)
('link86', 2.2377516537089126)
('link87', 2.2377512806749946)
('link38', 2.237749886090377)
('link73', 2.237743888640235)
('link109', 2.237743339189734)
('link35', 2.237741010971638)
('link17', 2.2377401554993406)
('link24', 2.237739957548902)
('link72', 2.237739396338398)
('link19', 2.2377389961216494)
('link70', 2.2377389720013907)
('link16', 2.237738966152491)
('link79', 2.2377389559217433)
('link27', 2.2377389544715327)
('link81', 2.2377389544715327)
('link82', 2.2377389544715327)
('link83', 2.2377389544715327)
('link84', 2.2377389544715327)
('link97', 2.2377389544715327)
('link98', 2.2377389544715327)
('link108', 2.2377389544715327)
('link110', 2.2377389544715327)
('link26', 2.2377389544480155)
