OD001	fo1	1
OD002	fo2	1
OD003	fo3	1
OD004	fo4	1
OD005	fo5	1
OD006	fo6	1
OD007	fo7	1
OD008	fo8	1
OD009	fo9	1
OD010	fo10	1
OD011	fo11	1
OD012	fo12	1
OD013	fo13	1
OD014	fo14	1
OD015	fo15	1
OD016	fo16	1
OD017	fo17	1
OD018	fo18	1
OD019	fo19	1
OD020	fo20	1
fo1	LJ0003	0.673198674
fo1	LJ0009	0.17033464
fo1	LJ0018	0.73801628
fo1	LJ0066	0.802833886
fo1	LJ0099	0.707567079
fo1	LJ0108	0.793488092
fo1	LJ0181	0.277660537
fo1	LJ0205	0.719023214
fo1	LJ0223	0.774495026
fo1	LJ0246	0.209526681
fo1	LJ0262	0.832680133
fo1	LJ0275	0.539945734
fo1	LJ0317	0.763038891
fo1	LJ0342	0.144709074
fo1	LJ0346	0.866445583
fo1	LJ0365	0.239372927
fo1	LJ0378	0.810973771
fo1	LJ0402	0.631896292
fo1	LJ0404	0.297256557
fo1	LJ0411	0.888151945
fo1	LJ0417	0.735001507
fo1	LJ0440	0.081700332
fo1	LJ0475	0.574012662
fo1	LJ0481	0.267410311
fo1	LJ0525	0.761230027
fo1	LJ0546	0.114259873
fo1	LJ0631	0.675007537
fo1	LJ0634	0.141694302
fo1	LJ0644	0.172143503
fo1	LJ0667	0.482062104
fo1	LJ0676	0.730479349
fo1	LJ0688	0.139583961
fo1	LJ0690	0.335544166
fo1	LJ0692	0.199577932
fo1	LJ0694	0.11245101
fo1	LJ0700	0.202592704
fo1	LJ0764	0.858305698
fo1	LJ0828	0.728670485
fo1	LJ1030	0.790473319
fo1	LJ1432	0.705758215
fo2	LJ0023	0.624057884
fo2	LJ0029	0.770877299
fo2	LJ0033	0.563159481
fo2	LJ0049	0.803738318
fo2	LJ0090	0.605366295
fo2	LJ0101	0.88423274
fo2	LJ0109	0.116068737
fo2	LJ0142	0.681941513
fo2	LJ0156	0.668375038
fo2	LJ0200	0.132348508
fo2	LJ0290	0.213747362
fo2	LJ0334	0.577027434
fo2	LJ0356	0.279167923
fo2	LJ0380	0.334639735
fo2	LJ0410	0.505275852
fo2	LJ0423	0.964727163
fo2	LJ0428	0.860416039
fo2	LJ0431	0.306300874
fo2	LJ0461	0.969550799
fo2	LJ0488	0.185107024
fo2	LJ0505	0.69430208
fo2	LJ0572	0.252034971
fo2	LJ0588	0.75218571
fo2	LJ0593	0.603255954
fo2	LJ0614	0.712993669
fo2	LJ0629	0.547482665
fo2	LJ0635	0.802532409
fo2	LJ0648	0.726258667
